gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
149,5.19284267,1.0000,4097,6.5492,12.0612,3963.6500,305.0389,7.21
150,5.19597816,1.0000,4097,7.0272,10.2796,3955.5500,270.0879,7.26
151,5.20089563,1.0000,4097,3.0389,7.4718,4049.9000,180.8483,7.31
152,5.20244412,1.0000,4097,4.1217,11.7163,4027.5500,261.8465,7.35
153,5.20244412,1.0000,4097,5.1203,10.8039,4005.5000,253.0985,7.40
154,5.20244412,1.0000,4097,5.6508,9.9066,3982.6250,262.5122,7.45
155,5.20566431,1.0000,4097,7.3269,15.3101,3956.0000,356.4222,7.50
156,5.20566431,1.0000,4097,7.2680,12.2845,3939.2750,312.1023,7.55
157,5.20566431,1.0000,4097,5.1280,11.0877,3996.2000,278.3919,7.59
158,5.20566431,1.0000,4097,5.1462,11.7160,4003.3250,272.4856,7.64
159,5.20569709,1.0000,4097,4.8218,10.3432,4004.8250,265.0827,7.69
160,5.20692946,1.0000,4097,6.2227,12.3778,3979.1750,306.3939,7.74
161,5.21334374,1.0000,4097,7.0097,12.9799,3952.1750,322.1817,7.79
162,5.21334374,1.0000,4097,5.7711,10.2217,3979.1750,267.9648,7.84
163,5.21334374,1.0000,4097,6.2347,11.0465,3975.4250,287.0743,7.88
164,5.21334374,1.0000,4097,4.5569,8.8983,4022.4500,223.1207,7.93
165,5.21334374,1.0000,4097,5.9163,10.7995,3972.4250,282.4018,7.98
166,5.21334374,1.0000,4097,6.6697,11.0533,3957.6500,285.5710,8.03
167,5.21431666,1.0000,4097,4.2979,8.1887,4017.5750,220.9617,8.07
168,5.21730828,1.0000,4097,5.9852,10.7438,3976.9250,268.7718,8.12
169,5.21730828,1.0000,4097,2.6090,6.4354,4058.6750,169.5843,8.17
170,5.21730828,1.0000,4097,3.5626,7.7314,4030.4000,204.0554,8.22
171,5.21730828,1.0000,4097,4.4539,7.8167,4016.9750,218.8719,8.27
172,5.21825256,1.0000,4097,7.1229,12.5793,3943.8500,326.6799,8.32
173,5.21825256,1.0000,4097,4.8586,10.7878,4003.7000,268.7737,8.36
174,5.21909931,1.0000,4097,3.5467,6.5245,4035.5750,173.6868,8.41
175,5.21909931,1.0000,4097,4.5347,11.2488,4022.2250,260.2112,8.46
176,5.21909931,1.0000,4097,10.2259,16.9528,3872.0750,407.0202,8.51
177,5.21909931,1.0000,4097,2.0570,4.6317,4068.5000,125.1022,8.55
178,5.21909931,1.0000,4097,6.3319,13.3578,3981.8000,315.1027,8.60
179,5.22204269,1.0000,4097,6.7104,17.5400,3971.9750,378.2460,8.65
180,5.22204269,1.0000,4097,6.2479,11.5444,3969.8000,297.8026,8.70
181,5.22204269,1.0000,4097,4.9451,9.1667,4010.1500,239.5974,8.74
182,5.22204269,1.0000,4097,6.2621,12.4098,3986.2250,285.5823,8.79
183,5.22281355,1.0000,4097,4.1091,7.6320,4026.7250,200.9607,8.85
184,5.22391693,1.0000,4097,2.6112,5.2146,4059.2750,138.4637,8.90
185,5.22453266,1.0000,4097,6.9020,13.6784,3953.8250,334.3378,8.94
186,5.22453266,1.0000,4097,3.9258,7.6387,4023.8750,200.4582,8.99
187,5.22453266,1.0000,4097,5.1035,11.6781,3992.9000,291.1687,9.05
