gen,best_fit,best_T,best_m,mean_T,stddev_T,mean_m,stddev_m,elapsed_s
118,0.99816829,1.0000,4097,6.8899,15.8457,3972.0500,334.3752,6.30
119,0.99817112,1.0000,4097,4.2411,9.1368,4015.5500,232.8873,6.36
120,0.99817112,1.0000,4097,2.6967,5.4909,4055.6750,148.4462,6.41
121,0.99817112,1.0000,4097,4.7670,11.1735,4009.7750,259.0526,6.46
122,0.99819040,1.0000,4097,2.3011,3.7650,4078.3250,81.7507,6.51
123,0.99819040,1.0000,4097,4.1507,8.1654,4019.2250,213.3055,6.57
124,0.99819040,1.0000,4097,5.5727,8.7771,3992.0750,241.6662,6.62
125,0.99819151,1.0000,4097,4.5579,9.2670,4010.9000,239.7310,6.67
126,0.99819151,1.0000,4097,9.3447,13.4321,3901.3250,347.1115,6.72
127,0.99819151,1.0000,4097,6.1131,12.2183,3971.9000,314.8916,6.78
128,0.99819268,1.0000,4097,7.6975,12.4635,3924.1250,321.9286,6.83
129,0.99819314,1.0000,4097,7.2092,12.1719,3939.7250,312.4676,6.89
130,0.99819956,1.0000,4097,6.2788,11.5869,3970.7000,293.8942,6.94
131,0.99819956,1.0000,4097,5.2799,9.9457,3997.0250,255.7484,6.99
132,0.99820660,1.0000,4097,8.4823,13.2493,3903.5000,344.0387,7.04
133,0.99820660,1.0000,4097,7.4956,11.8187,3935.8250,313.9038,7.10
134,0.99822023,1.0000,4097,1.3813,1.6891,4094.9000,13.1145,7.15
135,0.99822023,1.0000,4097,2.3085,4.4663,4077.9500,113.2705,7.20
136,0.99822023,1.0000,4097,8.4934,14.4300,3923.9750,352.0794,7.25
137,0.99822321,1.0000,4097,5.7607,11.8965,3982.7750,305.8201,7.30
138,0.99822344,1.0000,4097,5.6372,8.5273,3989.3000,225.0938,7.36
139,0.99822401,1.0000,4097,2.7097,4.3379,4065.9500,95.0379,7.41
140,0.99822459,1.0000,4097,2.8616,6.5388,4059.5750,163.3127,7.46
141,0.99822764,1.0000,4097,6.1075,9.9427,3975.6500,260.9629,7.52
142,0.99822927,1.0000,4097,4.5032,7.7868,4022.1500,198.2418,7.57
143,0.99822957,1.0000,4097,5.5394,12.3374,4003.6250,293.1993,7.62
144,0.99822957,1.0000,4097,2.5265,4.6428,4062.5750,120.9301,7.67
145,0.99823117,1.0000,4097,6.0428,11.4392,3981.5000,292.3661,7.72
146,0.99823117,1.0000,4097,4.5291,7.1751,4016.9750,191.1089,7.77
147,0.99823117,1.0000,4097,4.4351,8.8682,4017.9500,225.1095,7.82
148,0.99823175,1.0000,4097,6.2459,11.3623,3960.0500,290.9208,7.87
149,0.99823175,1.0000,4097,6.5492,12.0612,3963.6500,305.0389,7.92
150,0.99823729,1.0000,4097,7.0272,10.2796,3955.5500,270.0879,7.98
151,0.99824594,1.0000,4097,3.0389,7.4718,4049.9000,180.8483,8.03
152,0.99824865,1.0000,4097,4.1217,11.7163,4027.5500,261.8465,8.08
153,0.99824865,1.0000,4097,5.1203,10.8039,4005.5000,253.0985,8.13
154,0.99824865,1.0000,4097,5.6508,9.9066,3982.6250,262.5122,8.18
155,0.99825428,1.0000,4097,7.3269,15.3101,3956.0000,356.4222,8.23
156,0.99825428,1.0000,4097,7.2680,12.2845,3939.2750,312.1023,8.29
157,0.99825428,1.0000,4097,5.1280,11.0877,3996.2000,278.3919,8.34
158,0.99825428,1.0000,4097,5.1462,11.7160,4003.3250,272.4856,8.39
159,0.99825434,1.0000,4097,4.8218,10.3432,4004.8250,265.0827,8.44
160,0.99825649,1.0000,4097,6.2227,12.3778,3979.1750,306.3939,8.50
161,0.99826764,1.0000,4097,7.0097,12.9799,3952.1750,322.1817,8.55
162,0.99826764,1.0000,4097,5.7711,10.2217,3979.1750,267.9648,8.60
163,0.99826764,1.0000,4097,6.2347,11.0465,3975.4250,287.0743,8.66
164,0.99826764,1.0000,4097,4.5569,8.8983,4022.4500,223.1207,8.71
165,0.99826764,1.0000,4097,5.9163,10.7995,3972.4250,282.4018,8.76
166,0.99826764,1.0000,4097,6.6697,11.0533,3957.6500,285.5710,8.81
167,0.99826933,1.0000,4097,4.2979,8.1887,4017.5750,220.9617,8.87
168,0.99827450,1.0000,4097,5.9852,10.7438,3976.9250,268.7718,8.92
169,0.99827450,1.0000,4097,2.6090,6.4354,4058.6750,169.5843,8.98
170,0.99827450,1.0000,4097,3.5626,7.7314,4030.4000,204.0554,9.03
171,0.99827450,1.0000,4097,4.4539,7.8167,4016.9750,218.8719,9.09
172,0.99827613,1.0000,4097,7.1229,12.5793,3943.8500,326.6799,9.15
173,0.99827613,1.0000,4097,4.8586,10.7878,4003.7000,268.7737,9.20
174,0.99827759,1.0000,4097,3.5467,6.5245,4035.5750,173.6868,9.26
175,0.99827759,1.0000,4097,4.5347,11.2488,4022.2250,260.2112,9.32
176,0.99827759,1.0000,4097,10.2259,16.9528,3872.0750,407.0202,9.38
177,0.99827759,1.0000,4097,2.0570,4.6317,4068.5000,125.1022,9.43
178,0.99827759,1.0000,4097,6.3319,13.3578,3981.8000,315.1027,9.48
179,0.99828265,1.0000,4097,6.7104,17.5400,3971.9750,378.2460,9.54
180,0.99828265,1.0000,4097,6.2479,11.5444,3969.8000,297.8026,9.59
181,0.99828265,1.0000,4097,4.9451,9.1667,4010.1500,239.5974,9.64
182,0.99828265,1.0000,4097,6.2621,12.4098,3986.2250,285.5823,9.69
183,0.99828397,1.0000,4097,4.1091,7.6320,4026.7250,200.9607,9.74
184,0.99828587,1.0000,4097,2.6112,5.2146,4059.2750,138.4637,9.80
185,0.99828692,1.0000,4097,6.9020,13.6784,3953.8250,334.3378,9.85
186,0.99828692,1.0000,4097,3.9258,7.6387,4023.8750,200.4582,9.90
187,0.99828692,1.0000,4097,5.1035,11.6781,3992.9000,291.1687,9.96
188,0.99828700,1.0000,4097,6.4843,10.7605,3954.9500,287.6948,10.01
189,0.99828700,1.0000,4097,3.6033,7.3267,4038.6500,185.0199,10.06
190,0.99828745,1.0000,4097,6.3477,11.7926,3974.9000,287.4559,10.11
191,0.99828797,1.0000,4097,3.0823,6.2027,4051.1750,165.3814,10.16
192,0.99828797,1.0000,4097,6.4872,11.6895,3967.7750,297.5218,10.21
193,0.99828797,1.0000,4097,4.4982,9.4225,4014.1250,240.0297,10.26
194,0.99829293,1.3414,4097,5.0874,12.4308,4008.4250,281.4473,10.31
195,0.99829293,1.3414,4097,6.8226,11.3424,3970.2500,283.3847,10.36
196,0.99829293,1.3414,4097,6.8846,11.6688,3954.5750,305.7028,10.41
197,0.99829293,1.3414,4097,4.0853,6.8917,4025.3000,182.9604,10.46
198,0.99829293,1.3414,4097,4.9116,9.9754,4023.3500,229.1379,10.51
199,0.99829367,1.0000,4097,5.5624,8.7795,3980.9750,237.0137,10.56
200,0.99829367,1.0000,4097,3.1844,6.3915,4058.4500,168.7171,10.62
201,0.99830938,1.0000,4097,3.2783,6.2872,4050.4250,157.5086,10.67
202,0.99830938,1.0000,4097,4.8664,7.7327,4000.9250,209.9812,10.72
203,0.99830938,1.0000,4097,4.9595,10.0692,4001.5250,256.7077,10.77
204,0.99830938,1.0000,4097,10.0340,14.8145,3885.2750,384.7018,10.83
205,0.99830938,1.0000,4097,2.8934,5.2764,4059.7250,142.8247,10.88
206,0.99830938,1.0000,4097,5.7052,11.9179,3988.7750,298.8167,10.93
207,0.99830938,1.0000,4097,7.0139,14.0829,3949.6250,340.7894,10.98
208,0.99830938,1.0000,4097,5.0774,12.2098,4002.2750,272.5702,11.03
209,0.99831422,1.0000,4097,3.6236,6.4618,4042.4000,159.8612,11.09
210,0.99831535,1.0000,4097,3.1054,6.0327,4053.2000,154.3146,11.14
211,0.99831535,1.0000,4097,6.0938,11.8880,3975.5000,290.8747,11.19
212,0.99831535,1.0000,4097,6.5198,12.2841,3957.2000,319.7519,11.24
213,0.99831535,1.0000,4097,5.8815,8.5824,3994.1000,230.9583,11.30
214,0.99831586,1.0000,4097,4.3584,9.5611,4010.7500,247.4561,11.35
