image,mode,config,seed,points,generations,mse,psnr_db,file
elon,hff,hff_16x16_truenorth_sal,42,1000,25000,374.343423,22.3981,HFF_elon_grid16x16_pts1000_g25000_truenorth_sal.png
obama,scalar,scalar,42,300,5000,494.279418,21.1911,scalar_obama_pts300_g5000.png
obama,scalar,scalar,42,300,10000,489.407809,21.2341,scalar_obama_pts300_g10000.png
obama,hff,hff_8x8_truenorth,42,300,10000,499.982847,21.1413,HFF_obama_grid8x8_pts300_g10000_truenorth.png
obama,hff,hff_16x16_truenorth_sal,42,300,10000,567.850461,20.5885,HFF_obama_grid16x16_pts300_g10000_truenorth_sal.png
obama,hff,hff_8x8_truenorth_sal,42,300,10000,571.919290,20.5575,HFF_obama_grid8x8_pts300_g10000_truenorth_sal.png
obama,hff,hff_16x16_truenorth,42,300,10000,786.162419,19.1757,HFF_obama_grid16x16_pts300_g10000_truenorth.png
obama,hff,hff_32x32_truenorth_sal,42,300,10000,950.557049,18.3510,HFF_obama_grid32x32_pts300_g10000_truenorth_sal.png
obama,hff,hff_32x32_truenorth,42,300,10000,1790.451389,15.6012,HFF_obama_grid32x32_pts300_g10000_truenorth.png
obama,scalar,scalar,42,600,5000,455.051562,21.5502,scalar_obama_pts600_g5000.png
obama,scalar,scalar,42,600,10000,455.944202,21.5417,scalar_obama_pts600_g10000.png
obama,hff,hff_8x8_truenorth,42,600,10000,461.116876,21.4927,HFF_obama_grid8x8_pts600_g10000_truenorth.png
obama,hff,hff_32x32_truenorth,42,600,10000,492.534169,21.2064,HFF_obama_grid32x32_pts600_g10000_truenorth.png
obama,hff,hff_8x8_truenorth_sal,42,600,10000,493.700442,21.1962,HFF_obama_grid8x8_pts600_g10000_truenorth_sal.png
obama,hff,hff_16x16_truenorth_sal,42,600,10000,508.578777,21.0672,HFF_obama_grid16x16_pts600_g10000_truenorth_sal.png
obama,hff,hff_16x16_truenorth,42,600,10000,521.348260,20.9595,HFF_obama_grid16x16_pts600_g10000_truenorth.png
obama,hff,hff_32x32_truenorth_sal,42,600,10000,625.448267,20.1689,HFF_obama_grid32x32_pts600_g10000_truenorth_sal.png
obama,scalar,scalar,123,1000,15000,424.942089,21.8475,scalar_obama-s123_pts1000_g15000.png
obama,scalar,scalar,1,1000,15000,431.019848,21.7858,scalar_obama-s1_pts1000_g15000.png
obama,scalar,scalar,7,1000,15000,439.926755,21.6970,scalar_obama-s7_pts1000_g15000.png
obama,hff,hff_8x8_truenorth_sal,1,1000,15000,451.886847,21.5805,HFF_obama-s1_grid8x8_pts1000_g15000_truenorth_sal.png
obama,hff,hff_8x8_truenorth_sal,123,1000,15000,465.367737,21.4528,HFF_obama-s123_grid8x8_pts1000_g15000_truenorth_sal.png
obama,hff,hff_8x8_truenorth_sal,7,1000,15000,482.841904,21.2928,HFF_obama-s7_grid8x8_pts1000_g15000_truenorth_sal.png
obama,scalar,scalar,42,1000,25000,439.259399,21.7036,scalar_obama_pts1000_g25000.png
obama,hff,hff_8x8_truenorth_sal,42,1000,25000,462.140776,21.4831,HFF_obama_grid8x8_pts1000_g25000_truenorth_sal.png
obama,hff,hff_16x16_truenorth_sal,42,1000,25000,478.115413,21.3355,HFF_obama_grid16x16_pts1000_g25000_truenorth_sal.png
